platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
Algerian TV / EPTV,Middle East and North Africa,Video,entv.dz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Algerian public broadcaster; verify specific stream/ad availability.,,,2026-09-06
eVOD,Sub-Saharan Africa,Video,evod.co.za,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported South African service; web runtime still needs qualification.,https://www.etv.co.za/press-releases/evod-now-available-whale-tv,eVOD Now Available on Whale TV,2026-09-06
SABC+,Sub-Saharan Africa,Video,sabc-plus.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free public TV/sports service; stream ad handling not tested.,https://www.sabc.co.za/sabc/media-statement-sabc-plus-reaches-1-million-registered-users-driven-by-sport-and-digital-migration-campaign/ ; https://www.sabc.co.za/sabc/sabc-and-vodacom-partner-to-expand-affordable-access-to-the-fifa-world-cup-on-sabc-plus/,"MEDIA STATEMENT | SABC PLUS REACHES 1 MILLION REGISTERED USERS, DRIVEN BY SPORT AND DIGITAL MIGRATION CAMPAIGN – SABC – Official Website ; SABC and Vodacom partner to expand affordable access to the FIFA World Cup on SABC Plus – SABC – Official Website",2026-09-06
Openview Stream,Sub-Saharan Africa,Video,openview.co.za,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Reported July/August 2026 FAST rollout in seven African countries; secondary source only, verify official app/web entry point.",https://www.citizen.co.za/lifestyle/entertainment/tv/emedia-launches-free-streaming-service-across-seven-african-countries/,eMedia launches free streaming service,2026-09-06
DStv Stream,Sub-Saharan Africa,Video,dstv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free channels if offered versus paid provider package; native/browser distinctions.,,,2026-09-06
Showmax,Sub-Saharan Africa,Video,showmax.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Subscription service; do not assume its ordinary catalog is free or ad-supported.,,,2026-09-06
StarTimes ON,Sub-Saharan Africa,Video,startimestv.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Carrier/pay-TV and app service; desktop playback/ads not established.,https://www.official.startimestv.com/,StarTimes,2026-09-06
AfroLandTV,Sub-Saharan Africa,Video,afrolandtv.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free viewing plus ad-free Premium documented.,https://www.afrolandtv.com/upgrade,| AfroLandTV,2026-09-06
Viusasa,Sub-Saharan Africa,Video,viusasa.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official app contains ads and TV/radio/video; desktop access is unverified.,https://play.google.com/store/apps/details?hl=en_IN&id=com.viusasa,Viusasa – Apps on Google Play,2026-09-06
Citizen TV,Sub-Saharan Africa,Video,citizen.digital,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Kenyan news/live broadcaster candidate.,,,2026-09-06
KTN,Sub-Saharan Africa,Video,standardmedia.co.ke,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Kenyan broadcaster video/live candidate.,,,2026-09-06
NTV Kenya,Sub-Saharan Africa,Video,ntvkenya.co.ke,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Kenyan broadcaster video/live candidate.,,,2026-09-06
Afro Mobile,Sub-Saharan Africa,Video,afromobile.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Uganda TV/radio/video app candidate; browser eligibility unverified.,,,2026-09-06
GhanaWeb TV,Sub-Saharan Africa,Video,ghanaweb.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ghana publisher/video streams; ads not individually verified.,,,2026-09-06
JoyOnline,Sub-Saharan Africa,Video,myjoyonline.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ghana TV/radio/news streams candidate.,,,2026-09-06
Channels Television,Sub-Saharan Africa,Video,channelstv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nigeria news video/live candidate.,,,2026-09-06
ARISE News,Sub-Saharan Africa,Video,arise.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nigeria/international news live/video candidate.,,,2026-09-06
IROKOtv,Sub-Saharan Africa,Video,irokotv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nollywood subscription service; current operations and browser access need verification.,,,2026-09-06
IbakaTV,Sub-Saharan Africa,Video,ibakatv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nollywood VOD candidate; free/paid ads unconfirmed.,,,2026-09-06
SceneOne TV,Sub-Saharan Africa,Video,sceneone.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Nollywood subscription candidate; not presumed free.,,,2026-09-06
WASAFI,Sub-Saharan Africa,Video,wasafimedia.co.tz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Tanzania radio/TV/video candidate.,,,2026-09-06
Deezer,Global music radio and podcasts,Audio,deezer.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Historical free advertising model; newer reports of 30-second browser previews. Not a confirmed full-track free Chrome target.,https://www.deezer-investors.com/wp-content/uploads/2024/04/DZR2023_DEEZER_URD_EN_2024_04_30pdf.pdf ; https://en.deezercommunity.com/android-47/it-won-t-let-me-play-more-than-the-thirty-second-preview-fortracks-82682,"Presentation of the Company ; It won't let me play more than the thirty second preview fortracks | Deezer Community, bringing music lovers together",2026-09-06
Spotify,Global music radio and podcasts,Audio,open.spotify.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free songs/podcasts with ads; music breaks and podcast sponsorships are separate problems.,https://open.spotify.com/browse/albums,Spotify – Web Player,2026-09-06
YouTube Music,Global music radio and podcasts,Audio,music.youtube.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free ad-supported music/podcasts; separate from youtube.com adapter.,https://support.google.com/youtubemusic/answer/6313529?hl=en,What is YouTube Music? - YouTube Music Help,2026-09-06
SoundCloud,Global music radio and podcasts,Audio,soundcloud.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free listening with audio/display ads; Go differs by territory and catalog.,https://soundcloud.com/company/plans/go ; https://help.soundcloud.com/hc/en-us/articles/31353227038747-Soundcloud-Go-General-FAQs,Go ; Soundcloud Go General FAQs – SoundCloud Help Center,2026-09-06
